watch_id,name,brand,price,material,reference,condition,image_url
43,Breitling Steel Superocean Heritage B20 Automatic 42 Blue Dial,Breitling,3995.0,Stainless Steel,AB2010161C1S1,New,https://www.bobswatches.com/breitling/images/zBreitling-Superocean-AB2010161C1S1-SKU182424.jpg
44,Rolex Day-Date Ref 1803 White Dial,Rolex,19495.0,Yellow Gold,1803,Used,https://www.bobswatches.com/images/zUsed-Rolex-Day-Date-36-1803-White-Index-Dial-SKU185547.jpg
45,Pre-Owned No Date Dial Rolex Submariner 124060LN,Rolex,14495.0,Stainless Steel,124060,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-124060-SKU185752.jpg
46,Pre-Owned Batgirl Rolex GMT-Master II ref 126710BLNR Jubilee Bracelet,Rolex,19995.0,Stainless Steel,126710BLNR,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-SKU186836.jpg
47,Pre-Owned Rolex GMT-Master II Pepsi 126710BLRO Jubilee Band,Rolex,28595.0,Stainless Steel,126710BLRO,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-SKU185958.jpg
48,Used Rolex GMT-Master II Pepsi 16710,Rolex,14995.0,Stainless Steel,16710,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-16710-SKU182045.jpg
49,Used Omega Seamaster Diver 300M Blue Wave Dial,Omega,4995.0,Stainless Steel,210.30.42.20.03.001,Used,https://www.bobswatches.com/omega/images/zUsed-OMEGA-Seamaster-Diver-300M-210.30.42.20.03.001-SKU186895.jpg
50,Used Tudor Black Bay Ref 79230R Red Bezel,Tudor,3695.0,Stainless Steel,79230R,Used,https://www.bobswatches.com/tudor/images/zUsed-Tudor-Black-Bay-79230-SKU186202.jpg
51,Used Rolex Daytona Ref 116509 Blue Dial,Rolex,49495.0,White Gold,116509,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-116509-Blue-Dial-SKU185837.jpg
52,Oris Aquis Date Taste of Summer Red Dial,Oris,1595.0,Stainless Steel,01 733 7787 4138-07 8 22 04PEB,New,https://www.bobswatches.com/oris/images/zOris-Aquis-01-733-7787-4138-07-8-22-04PEB-SKU185143.jpg
