watch_id,name,brand,price,material,reference,condition,image_url
147,Used Omega Seamaster Planet Ocean 600M Ultra Deep O‑MEGASTEEL on Rubber,Omega,10595.0,Stainless Steel,215.32.46.21.03.001,Used,https://via.placeholder.com/300
148,Breitling Blue Dial Superocean Heritage B20 Automatic 42,Breitling,3995.0,Stainless Steel,AB2010161C1A1,New,https://via.placeholder.com/300
149,Breitling Navitimer Automatic 35 Copper Dial,Breitling,3195.0,Stainless Steel,A17395201K1P1,Used,https://via.placeholder.com/300
150,Pre-Owned Black Dial Tudor Black Bay Pro Ref 79470,Tudor,3895.0,Stainless Steel,79470,Used,https://via.placeholder.com/300
151,Rolex Day-Date 40 228345 Eisenkiesel Diamond Dial,Rolex,77995.0,Rose Gold,228345,Used,https://via.placeholder.com/300
152,Breitling Avenger B01 Chronograph 44 Night Mission Black Ceramic,Breitling,5895.0,Ceramic,SB0147101B1X1,New,https://via.placeholder.com/300
153,Pre-Owned Rolex Daytona Ref 126505 Chocolate Dial,Rolex,63995.0,Rose Gold,126505,Used,https://via.placeholder.com/300
154,Men's Omega Speedmaster 57 Black Dial,Omega,7995.0,Stainless Steel,332.12.41.51.01.001,Used,https://via.placeholder.com/300
155,Pre-Owned Rolex Daytona 116528 Mother of Pearl Roman Dial,Rolex,44995.0,Yellow Gold,116528,Used,https://via.placeholder.com/300
156,Used Rolex Submariner 116613LN Black Dial,Rolex,15995.0,Steel and Gold,116613,Used,https://via.placeholder.com/300
157,Pre-Owned Rolex Submariner 116613LN Black Dial,Rolex,16295.0,Steel and Gold,116613,Used,https://via.placeholder.com/300
158,Pre-Owned Rolex Daytona 126509 Black Chronograph Dial,Rolex,54995.0,White Gold,126509,Used,https://via.placeholder.com/300
159,Pre-Owned Rolex Yacht-Master 40 Ref 16623 Blue Dial,Rolex,12595.0,Steel and Gold,16623,Used,https://via.placeholder.com/300
160,Pre-Owned Cartier Roadster Chronograph W62042Y5 Rose Gold,Cartier,19995.0,Rose Gold,W62042Y5,Used,https://via.placeholder.com/300
161,Pre-Owned Coke Rolex GMT-Master II Stainless Steel 16710,Rolex,14995.0,Stainless Steel,16710,Used,https://via.placeholder.com/300
162,Pre-Owned Steel Omega Speedmaster Silver Snoopy Award,Omega,16495.0,Stainless Steel,310.32.42.50.02.001,Used,https://via.placeholder.com/300
163,Pre-Owned Rolex Ladies Datejust 69178 Champagne Diamond Dial,Rolex,11995.0,Yellow Gold,69178,Used,https://via.placeholder.com/300
164,Pre-Owned Rolex Submariner 16613 Two Tone,Rolex,13295.0,Steel and Gold,16613,Used,https://via.placeholder.com/300
165,Used Silver Dial Omega Speedmaster Racing,Omega,4395.0,Stainless Steel,326.30.40.50.02.001,Used,https://via.placeholder.com/300
166,Breitling Bentley Supersports Chronograph,Breitling,5995.0,Titanium,E27365,Used,https://via.placeholder.com/300
167,Pre-Owned Rolex Sky-Dweller Black Dial 336933 Oyster Bracelet,Rolex,24995.0,Steel and Gold,336933,Used,https://via.placeholder.com/300
168,Pre-Owned Rolex GMT-Master II ref 116718 Green Dial,Rolex,44995.0,Yellow Gold,116718,Used,https://via.placeholder.com/300
169,Omega Constellation Steel & Yellow Gold Green Dial,Omega,9195.0,Steel and Gold,131.23.41.21.10.001,Used,https://via.placeholder.com/300
170,Oris Aquis Date Stainless Steel Green Dial,Oris,2195.0,Stainless Steel,01 400 7769 4157-07 8 22 09PEB,Used,https://via.placeholder.com/300
171,Pre-Owned Blue Dial Rolex Submariner 116613LB,Rolex,16495.0,Steel and Gold,116613,Used,https://via.placeholder.com/300
172,Rolex Yacht-Master 40 Yellow Gold 16628 Champagne Dial,Rolex,26995.0,Yellow Gold,16628,Used,https://via.placeholder.com/300
173,Breitling Navitimer Automatic 41 Stainless Steel Blue Dial,Breitling,3895.0,Stainless Steel,A17326161C1A1,New,https://via.placeholder.com/300
174,Used Rolex Submariner Steel & Gold 126613LN Black Dial,Rolex,19295.0,Steel and Gold,126613,Used,https://via.placeholder.com/300
175,IWC Portugieser Automatic IW500702 Grey Dial,IWC,17795.0,Rose Gold,IW500702,Used,https://via.placeholder.com/300
176,Used Cartier Tank Americaine W2605856 Yellow Gold,Cartier,6295.0,Yellow Gold,W2605856,Used,https://via.placeholder.com/300
177,Pre-Owned Rolex Datejust 41 Ref 126333 Champagne Diamond Dial,Rolex,16295.0,Steel and Gold,126333,Used,https://via.placeholder.com/300
178,Pre-Owned Tudor Heritage Black Bay Bronze 79250BA Leather Strap,Tudor,3995.0,Bronze,79250BA,Used,https://via.placeholder.com/300
179,Used Lady Rolex Yellow Gold Datejust 6917 Champagne Dial,Rolex,9995.0,Yellow Gold,6917,Used,https://via.placeholder.com/300
180,Used Bruce Wayne Rolex GMT-Master II ref 126710GRNR,Rolex,22595.0,Stainless Steel,126710GRNR,Used,https://via.placeholder.com/300
181,Pre-Owned Rolex Datejust 36 ref 16220 Stainless Steel,Rolex,6295.0,Stainless Steel,16220,Used,https://via.placeholder.com/300
182,Pre-Owned Black Dial Rolex Submariner 116613LN,Rolex,16295.0,Steel and Gold,116613LN,Used,https://via.placeholder.com/300
183,Pre-Owned White Dial Omega Seamaster Stainless Steel,Omega,5495.0,Stainless Steel,210.32.42.20.04.001,Used,https://via.placeholder.com/300
184,Pre-Owned Two Tone Omega Seamaster Black Wave Dial,Omega,7095.0,Steel and Rose Gold,210.22.42.20.01.002,Used,https://via.placeholder.com/300
185,Pre-Owned Rolex Datejust 126300 Blue Dial,Rolex,9595.0,Stainless Steel,126300BLRO,Used,https://via.placeholder.com/300
186,Used IWC Pilot’s Watch Chronograph 41 IW388101 Blue Dial,IWC,5595.0,Stainless Steel,IW388101,Used,https://via.placeholder.com/300
187,Used Grand Seiko Heritage Collection SBGH295 Blue Dial,Grand Seiko,5995.0,Stainless Steel,SBGH295,Used,https://via.placeholder.com/300
188,Pre-Owned Tudor Black Bay 58 Blue Dial 79030B,Tudor,3795.0,Stainless Steel,M79030B-0001,Used,https://via.placeholder.com/300
189,Used Rolex No Date Submariner 14060 Black Superluminova Dial,Rolex,12595.0,Stainless Steel,14060,Used,https://via.placeholder.com/300
190,Used Rolex Datejust 36 ref 126231 White Roman Dial,Rolex,15495.0,Steel and Rose Gold,126231,Used,https://via.placeholder.com/300
191,Pre-Owned Rolex Daytona 126503 Black Chronograph Dial,Rolex,26995.0,Steel and Gold,126503,Used,https://via.placeholder.com/300
192,Breitling Super Chronomat B01 44 Anthracite Dial,Breitling,7095.0,Titanium,EB0136251M1S1,New,https://via.placeholder.com/300
193,Omega Seamaster Stainless Steel on Rubber Diver 300M,Omega,5995.0,Stainless Steel,210.32.42.20.06.002,Used,https://via.placeholder.com/300
